CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2-Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Source1,Source2,Source3,Misc.,TearGas,CountLove,AdHoc,Source4,Source5,Source6,Source7,Source8,Source9,,,,,,,,
New York,"McCarren Park, Brooklyn",,NY,US,2020-08-25,,,,,,,general protesters,"against racism, against police brutality",1,vigil,,,,,0,1,,https://www.instagram.com/p/CEUoMTzjuJg/,,,,,,1,,,,,,,,,,,,,,
Newark,,,NJ,US,2020-08-25,about 50,50,,50,,,Newark residents and individuals from surrounding communities,"Black Trans Lives Matter, in honor of Ashley Moore",1,rally; vigil,0,0,0,0,1,1,,https://www.nj.com/news/2020/08/locals-rally-for-justice-awareness-after-black-transgender-womans-death-in-newark.html,,,,0,1,,,,,,,,,,,,,,,
Oak Park,Outside Mayor Anan Abu-Taleb's home,,IL,US,2020-08-25,,,,,,,general protesters,"for defunding police, against racism",1,protest,0,0,0,1,1,1,,https://www.chicagotribune.com/suburbs/oak-park/ct-oak-park-protesting-tl-0903-20200901-smp5gpo6prd3xofij42jbf6ezm-story.html,,,During a virtual town meeting to vote on whether or not to defund the police,0,1,,,,,,,,,,,,,,,
Olympia,the post office,,WA,US,2020-08-25,,,,,,,Olympia Indivisible ,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,protest,0,0,0,0,1,1,,https://www.theolympian.com/news/local/article245267235.html,,,,,,,,,,,,,,,,,,,,
Portland,Shemanski Park; Portland City Hal,,OR,US,2020-08-25,couple hundred,200,,200,,,general protesters,"against racism, against police violence",1,protest,0,0,0,0,1,1,,https://www.newsbreak.com/oregon/portland/news/2047909815002/portland-protests-move-to-city-hall-on-3-month-anniversary-of-george-floyds-death-live-updates,,,,,,1,,,,,,,,,,,,,,
Providence,Main Post Office,,RI,US,2020-08-25,count photo,12,,12,,,Postal workers and supporters,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,protest,0,0,0,0,1,1,,https://www.wpri.com/news/local-news/providence/postal-workers-protest-in-providence-amid-concerns-over-cutbacks-late-deliveries/,,,,0,1,,,,,,,,,,,,,,,
Sacramento,,,CA,US,2020-08-25,,,,,,,general protesters,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",0,protest,0,0,0,0,1,1,,https://www.sacbee.com/news/local/article245255305.html,,,,0,1,,,,,,,,,,,,,,,
Saint Paul,Minnesota State Fairgrounds,,MN,US,2020-08-25,,,,,,,general protesters,"against racism, against police violence, for justice for Marcus Golden",1,protest,0,0,0,0,1,1,,https://www.twincities.com/2020/08/23/racial-justice-protesters-march-to-minnesota-state-fairgrounds-on-sunday/,,,,0,1,,,,,,,,,,,,,,,
San Francisco,San Francisco City Hall,,CA,US,2020-08-25,,,,,,,local small businesses,protest lack of support for small businesses during Covid,0,protest,,,,,1,1,,https://sf.funcheap.com/small-business-peaceful-protest/,,,,,,1,,,,,,,,,,,,,,
San Francisco,Bayview-Hunters Point; Shipyard; San Francisco City Hall,,CA,US,2020-08-25,,,,,,,Act Now to Stop War & End Racism; Bay Area OccupySF Environmental Justice Working Group; Codepink Golden Gate; Meiklejohn Civil Liberties Institute; Extinction Rebellion SF Bay,stop environmental racism; clean up radioactive waste,1,"protest, caravan",,,,,0,1,,https://www.instagram.com/p/CDKUwDKhmZc/?igshid=q9ulc1j22ywf,,,,,,1,,,,,,,,,,,,,,
San Francisco,Fox Plaza,,CA,US,2020-08-25,,,,,,,APWU; NALC,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,rally,,,,,0,1,,https://www.indybay.org/newsitems/2020/08/22/18836055.php,,,,,,1,,,,,,,,,,,,,,
San Francisco,Oracle Park,,CA,US,2020-08-25,FB: 37,37,,37,,,UNITE HERE Local 2,antiracism; against police brutality,1,protest,,,,,0,1,,https://www.facebook.com/events/604507160247195,,,,,,1,,,,,,,,,,,,,,
San Luis Obispo,San Luis Obispo County Courthouse,,CA,US,2020-08-25,,,,,,,general protesters,for dropping charges against Black Lives Matter protester Tainna Arata,1,rally,0,0,0,0,1,1,,https://keyt.com/news/san-luis-obispo-county/2020/08/24/free-tianna-arata-rally-to-take-place-in-san-luis-obispo-tuesday-morning/,,,,,,,,,,,,,,,,,,,,
Seattle,Seattle Central College,,WA,US,2020-08-25,count video,50,,70,,,Morning March Seattle,"against racism, against police violence, for defunding police, for police accountability, for justice for Jesse Seray",1,march,,,,,1,1,,https://www.instagram.com/p/CESrDSLpwXo/,https://www.instagram.com/p/CEUclRuJQ0p/,https://www.instagram.com/p/CEUc4JpJ-vE/,,,,1,,,,,,,,,,,,,,
Seattle,Capitol Hill,,WA,US,2020-08-25,,,,,,,Morning March Seattle,"against racism, against police violence, for defunding police, for justice for Jacob Blake and Trayford Pellerin",1,march,0,0,0,0,0,1,,https://www.kuow.org/stories/updates-protests-for-racial-justice-in-the-seattle-area-aug-24-27,,,,,,1,,,,,,,,,,,,,,
Sherman Oaks,"Sherman Oaks Galleria, Sepulveda Blvd and Ventura Blvd",,CA,US,2020-08-25,,,,,,,The Valley of Change,"Black Lives Matter, against police brutality",1,demonstration,,,,,1,1,,https://twitter.com/ACatWithNews/status/1423588411227611136,,,,,,1,,,,,,,,,,,,,,
Spokane,Riverside Avenue and Lincoln Street,,WA,US,2020-08-25,count pic,17,,17,,,general protesters,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,protest,0,0,0,0,1,1,,https://www.spokesman.com/galleries/2020/aug/25/spokane-supporters-protest-to-save-usps/,,,,0,1,,,,,,,,,,,,,,,
Springfield,"Springfield Post Office, Main Street",,MA,US,2020-08-25,Dozens,24,,24,,,American Postal Workers Local 497,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,rally,0,0,0,0,1,1,,https://www.wwlp.com/news/local-news/hampden-county/postal-workers-supporters-to-rally-in-springfield-tuesday/,https://www.masslive.com/news/2020/08/save-the-post-office-rally-draws-workers-supporters.html,,,0,1,,,,,,,,,,,,,,,
Statesville,Broad St & Center St,,NC,US,2020-08-25,,,,,,,Statesville4Change,"for removal of Confederate statue, Black Lives Matter",1,demonstration,,,,,1,1,,https://statesville.com/news/local/as-protests-near-100-days-elowehi-onole-said-there-is-no-plan-to-stop-in/article_5dd17c3a-fe66-11ea-a0e8-4b7d70be3639.html,,,,,,1,,,,,,,,,,,,,,
Tampa,,,FL,US,2020-08-25,,,,,,,Postal workers and supporters,"in support of U.S. Postal Service, for voting rights, for resignation of Postmaster General Louis DeJoy, against President Trump",1,rally,0,0,0,0,1,1,,https://www.floridaphoenix.com/blog/postal-workers-hold-rallies-across-u-s-to-savethepostoffice/,,,,0,1,,,,,,,,,,,,,,,
Wausau,Marathon County Courthouse,,WI,US,2020-08-25,few dozen,24,,,,,general protesters,Black Lives Matter,1,protest; rally,0,0,0,0,1,1,,https://www.wisconsinrapidstribune.com/picture-gallery/news/2020/08/26/justice-jacob-protest-wausau/3440221001/,https://waow.com/2020/08/25/dozens-rally-in-wausau-in-support-of-jacob-blake/,,,0,1,,,,,,,,,,,,,,,
Wooster,Market St and Liberty St,Wayne,OH,US,2020-08-25,,,,,,,general protesters,"against racism, against police brutality",1,protest,,,,,1,1,,https://twitter.com/desireejweber/status/1357411129488769028,,,,,,1,,,,,,,,,,,,,,
Albertville,Marshall County Courthouse,,AL,US,2020-08-26,,,,,,,Say Their Names Alabama; protesters,for removal of Confederate monument,1,protest,0,0,0,0,1,1,20200826-albertville-confederacy,https://www.wsfa.com/2020/08/27/protesters-counter-protesters-rally-confederate-monument-site-albertville/,,,chanted,0,1,,,,,,,,,,,,,,,
Albertville,Marshall County Courthouse,,AL,US,2020-08-26,,,,,,,general protesters,"against removal of Confederate monument, for President Trump, heritage not hate",2,counter-protest,0,0,0,0,0,1,20200826-albertville-confederacy,https://www.wsfa.com/2020/08/27/protesters-counter-protesters-rally-confederate-monument-site-albertville/,,,occupied space around monument,0,1,,,,,,,,,,,,,,,
Ames,Memorial Union,,IA,US,2020-08-26,,,,,,,Ames Black Lives Matter,"against racism, against police violence, for justice for Jacob Blake",1,protest,0,0,0,0,1,1,,https://www.iowastatedaily.com/diversity/ames-black-lives-matter-hosts-protest-in-honor-of-jacob-blake-victim-of-police-brutality/article_f54fdd6e-e81c-11ea-ac72-53d094cae688.html,,,,0,1,,,,,,,,,,,,,,,
Anchorage,36th Avenue to front of Anchorage Assembly chambers,,AK,US,2020-08-26,hundreds,200,,200,,,"youth hockey players, parents, and coaches",for reopening Ben Boeke Arena for hockey and figure skating during coronavirus pandemic,0,protest,0,0,0,0,1,1,,https://www.alaskasnewssource.com/2020/08/27/anchorage-youth-hockey-rallies-to-get-our-rinks-back/,https://www.adn.com/alaska-news/anchorage/2020/08/26/as-anchorage-hockey-supporters-protests-use-of-ice-arena-for-homeless-shelter-city-looks-for-alternatives/,,,0,1,,,,,,,,,,,,,,,
Arlington,Globe Life Field,,TX,US,2020-08-26,,,,,,,Oakland Athletics and Texas Rangers,against racial injustice,1,protest,0,0,0,0,1,1,,https://www.mercurynews.com/2020/08/27/oakland-as-game-against-texas-rangers-thursday-postponed-to-protest-racial-injustice-per-reports/,https://www.sfchronicle.com/athletics/article/A-s-Rangers-latest-team-to-postpone-game-to-15519850.php,,,0,1,,,,,,,,,,,,,,,
Baltimore,Fort McHenry,,MD,US,2020-08-26,,,,,,,general protesters,for President Trump,2,rally,0,0,0,0,1,1,20200826-baltimore-trump,https://twitter.com/notjessewalker/status/1298795139415126021,https://www.capitalgazette.com/politics/elections/bs-md-pence-fort-mchenry-20200826-2dxvfalbubeqjomjh2u3qbtfqm-story.html,,shouted and chanted at rally-goers; shoving,0,,1,,,,,,,,,,,,,,
Baltimore,Fort McHenry,,MD,US,2020-08-26,about 60,60,,60,,,general protesters,"against President Trump, against use of national park site for political party convention, dump Trump, for LGBTQ+ pride",1,counter-protest,0,0,0,0,0,1,20200826-baltimore-trump,https://twitter.com/notjessewalker/status/1298795139415126021,https://www.baltimoresun.com/67146eee-8273-4b83-a41f-08be9b274526-132.html,https://www.capitalgazette.com/politics/elections/bs-md-pence-fort-mchenry-20200826-2dxvfalbubeqjomjh2u3qbtfqm-story.html,shouted and chanted at counter-protesters; shoving,0,,1,,,,,,,,,,,,,,
Baltimore,,,MD,US,2020-08-26,,,,,,,Peoples Power Assembly ,"against President Trump, against racism",1,caravan,0,0,0,0,0,1,,https://www.capitalgazette.com/politics/elections/bs-md-pence-fort-mchenry-20200826-2dxvfalbubeqjomjh2u3qbtfqm-story.html,,,,,,,,,,,,,,,,,,,,
Bay Lake,ESPN Wide World of Sports Complex,,FL,US,2020-08-26,,,,,,,Milwaukee Bucks; Orlando Magic; Oklahoma City Thunder; Houston Rockets; Los Angeles Lakers; Portland Trailblazers,"against police brutality, anti-racism, justice for Jacob Blake",1,protest,0,0,0,0,1,1,,https://www.dailykos.com/stories/2020/8/26/1972548/-Milwaukee-Bucks-begin-strike-to-protest-Jacob-Blake-shooting-shut-down-entire-NBA-playoffs,https://www.sbsun.com/2020/08/26/milwaukee-buck-call-off-nba-playoff-game-lakers-game-uncertain/,https://www.sfgate.com/news/article/Bucks-boycott-Game-5-of-NBA-playoff-series-to-15517119.php,"While in the locker room, players called Wisconsin Lieutenant Gov. Mandela Barnes asking for the state legislature to vote on police reform",0,1,,https://www.cbssports.com/nba/news/nba-protest-live-updates-schedule-announced-for-resumption-of-playoffs-on-saturday-sunday/live/,https://kfor.com/news/local/report-oklahoma-city-thunder-boycotting-playoff-game-in-protest-against-police-shooting-of-jacob-blake/,https://www.cleveland.com/cavs/2020/08/milwaukee-bucks-to-boycott-game-5-vs-orlando-magic-to-protest-the-shooting-of-jacob-blake.html,https://www.masslive.com/celtics/2020/08/no-nba-playoffs-games-will-be-played-wednesday-as-players-strike-to-protest-shooting-of-jacob-blake.html,https://kelo.com/2020/08/26/bucks-boycott-playoff-game-to-protest-racial-injustice-reports/,https://www.apg-wi.com/ashland_daily_press/paywall/bucks-players-boycott-playoff-game-to-protest-racial-injustice/article_9ad3f256-e7dd-11ea-b150-a752f6df85bb.html,,,,,,,,
Berkeley,"Sather Gate, University of California-Berkeley",,CA,US,2020-08-26,two dozen,24,,24,,,students,against animal cruelty at Seaboard Foods which supplies pork to university dining facilities,0,protest,0,0,0,0,1,1,,https://www.dailycal.org/2020/08/26/students-protest-alleged-inhumane-animal-treatment-at-cal-dining-supplier/,,,,0,1,,,,,,,,,,,,,,,
Boise,State St,,ID,US,2020-08-26,,,,,,,general protesters,"against racism, against hate, for American values, for equality, Black Lives Matter, for voting rights, in support of veterans and active-duty military, respect science",1,demonstration,,,,,1,1,,https://www.kivitv.com/news/honk-for-american-values-demonstration-continues-for-100-straight-days,https://www.idahopress.com/news/local/honk-for-american-values-demonstrators-near-100-consecutive-days/article_088f414c-ac84-5f55-b84e-b3f811add6be.html,,,,,1,,,,,,,,,,,,,,
Bristol,State St,,VA,US,2020-08-26,several dozen,36,,36,,,general protesters,"in celebration of 19th Amendment, in celebration of voting rights for women",1,demonstration,0,0,0,0,1,1,,https://heraldcourier.com/news/local/state-street-demonstration-celebrates-19th-amendment-centennial/article_96eb14e4-5607-56af-ada6-7fa1a8a8d6af.html,,,,0,1,,,,,,,,,,,,,,,
Buffalo,,,NY,US,2020-08-26,,,,,,,Boston Red Sox; Toronto Blue Jays,"against racism, against police violence, for justice for Jacob Blake",1,protest,0,0,0,0,1,1,,https://www.masslive.com/redsox/2020/08/red-sox-game-postponed-boston-decides-not-to-play-thursday-vs-blue-jays-in-protest-of-jacob-blake-shooting.html,https://www.masslive.com/redsox/2020/08/red-sox-boycott-boston-strongly-considering-not-playing-thursday-night-vs-blue-jays-to-protest-shooting-of-jacob-blake-report.html,,,0,1,,,,,,,,,,,,,,,
Burlington,Battery Park,,VT,US,2020-08-26,,,,,,,general protesters,"against racism, against police violence, for police reform",1,encampment; march,0,0,0,0,1,1,,https://www.wcax.com/2020/08/26/blm-protesters-say-they-have-no-plans-to-leave-battery-park/,,,,,,1,,,,,,,,,,,,,,
Coolidge,Stinger Bridge and Iron fabrication facility,,AZ,US,2020-08-26,about a dozen,12,,12,,,"Akimel O'odham, Hia-Ced O’odham and Tohono O’odham communities","against construction of border wall, for protection of native peoples' land, for environmental protection",1,protest,,,,,1,1,,https://news.azpm.org/s/79680-indigenous-activists-stage-demonstration-at-wall-contractor-subsidiary-in-coolidge/,,,,,,1,,,,,,,,,,,,,,
Davenport,Davenport City Council Meetign,,FL,US,2020-08-26,,,,,,,Black Lives Matter,"Black Lives Matter, for police reform",1,protest,0,0,0,0,1,1,,https://qconline.com/news/local/protesters-demand-vote-on-police-reforms-call-member-racist-at-tense-davenport-council-meeting/article_d740f552-df34-5482-b16e-bc54547de6f9.html#tracking-source=in-article,,,,0,1,,,,,,,,,,,,,,,
Denver,,,CO,US,2020-08-26,Matt Kemp,1,,1,,,general protesters,"against racism, against police brutality",1,walkout,0,0,0,0,1,1,,https://denver.cbslocal.com/2020/08/26/colorado-rockies-matt-kemp-diamondbacks-social-injustices/,,,,0,1,,,,,,,,,,,,,,,
Detroit,Detroit Public Safety Headquarters,,MI,US,2020-08-26,,,,,,,Detroit Will Breathe,"against racism, against police brutality, for defunding police, for police reform, for carceral reform, against criminalization of homelessness, for immigrants' rights, for disabled peoples' rights, for moratorium on evictions and foreclosures and against utility shutoffs during coronavirus pandemic, for resignation of police chief",1,march,0,0,0,0,1,1,,https://detroitwillbreathe.info/events.html,,,,,,1,,,,,,,,,,,,,,
Detroit,,,MI,US,2020-08-26,,,,,,,community residents,against Team Wellness Center homeless shelter in neighborhood,0,protest,0,0,0,0,0,1,,https://www.clickondetroit.com/news/local/2020/08/26/residents-on-detroits-east-side-protest-homeless-center/,,,,0,1,,,,,,,,,,,,,,,
Drexel Hill,Upper Darby High School,,PA,US,2020-08-26,couple dozen,24,,24,,,residents and supporters,demanding that Comcast provide free Internet access for students during remote schooling due to coronavirus pandemic,0,protest,0,0,0,0,1,1,,https://www.dailylocal.com/news/local/morning-briefing-games-stop-as-pro-athletes-take-protest-lead-younger-people-now-spreading-coronavirus/article_a5353e22-3ba1-5f60-b058-5fce604d5027.html,,,,0,1,,,,,,,,,,,,,,,
Gresham,Gresham City Hall,,OR,US,2020-08-26,more than 100,100,,100,,,general protesters,"Black Lives Matter, against hate",1,demonstration,0,0,0,0,1,1,20200826-gresham-blm,https://pamplinmedia.com/go/42-news/478087-386443-gresham-councilors-keep-peace-at-heated-protest-at-city-hall?wallit_nosession=1,,,some in black bloc; paintball guns; shields; verbal clashes with counter-protesters,0,1,,,,,,,,,,,,,,,
Gresham,Gresham City Hall,,OR,US,2020-08-26,more than 100,100,,100,,,Proud Boys,"against Black Lives Matter protesters, for patriotism, in support of police",2,counter-protest,0,0,0,0,1,1,20200826-gresham-blm,https://pamplinmedia.com/go/42-news/478087-386443-gresham-councilors-keep-peace-at-heated-protest-at-city-hall?wallit_nosession=1,,,some openly carried firearms; flags on flagpoles; verbal clashes with protesters,0,1,,,,,,,,,,,,,,,
Hanover,outside the dean's office,,NH,US,2020-08-26,about 60,60,,60,,,students,against school's handling of cheating allegations,0,protest,,,,,1,1,,https://www.vnews.com,,,,,,,,,,,,,,,,,,,,
Kenosha,Civic Center Park,,WI,US,2020-08-26,about 100,100,,100,,,general protesters,"against racism, against police violence, for justice for Jacob Blake",1,rally; march,0,0,0,0,1,1,,https://www.kenoshanews.com/news/local/watch-now-update-36-arrested-overnight-peaceful-protesters-condemn-rioters/article_485f2bf1-4f22-55d0-8172-e9ff329bd25d.html,https://www.news5cleveland.com/news/america-in-crisis/kyle-rittenhouse-charged-with-homicide-in-kenosha-shootings-that-killed-two-protesters,https://www.10news.com/news/america-in-crisis/kyle-rittenhouse-charged-with-homicide-in-kenosha-shootings-that-killed-two-protesters,https://www.kenoshanews.com/news/local/watch-now-peaceful-rally-backs-law-enforcement-public-safety/article_223bae30-883f-588b-b214-2daaf481f1b7.html,,1,1,https://madison.com/news/local/crime-and-courts/watch-now-update-36-arrested-overnight-peaceful-protesters-condemn-rioters/article_8577cf18-9666-5aa0-9f3c-2fa1dfabc8ab.html,https://www.wisconsinrapidstribune.com/story/news/2020/08/26/wisconsin-police-shooting-jacob-blake-live-updates-kenosha/3441808001/,https://sfbayca.com/2020/08/27/police-say-agitators-turned-peaceful-oakland-protest-violent-destructive/,,,,,,,,,,,
Los Angeles,Hall of Justice; L.A. City Hall; L.A. Police Department,,CA,US,2020-08-26,about 300,300,,300,,,Black Lives Matter LA,"for justice for Jacob Blake, against police brutality, against racism, for police accountability, for state legislation that would allow decertification of police officers found guilty of misconduct, for SB 731",1,protest; march,0,0,0,0,1,1,,https://www.nbclosangeles.com/news/local/protesters-and-police-clash-in-dtla-as-protests-over-police-shootings-continue/2419449/,https://twitter.com/cogeian/status/1298864638411431938,https://abc7.com/black-lives-matter-supporters-push-for-police-reform-at-dtla-rally/6391303/,,,1,1,https://www.latimes.com/california/story/2020-08-26/downtown-los-angeles-jacob-blake-protest,,,,,,,,,,,,,
Los Angeles,"U.S. Bank Tower, 633 W 5th St; Third Street Tunnel",,CA,US,2020-08-26,about 100,100,,100,,,general protesters,"for justice for Jacob Blake, against police brutality, against racism",1,protest,unspecified,unspecified,0,1,1,1,,https://www.dailynews.com/?returnUrl=https%3A%2F%2Fwww.dailynews.com%2F2020%2F08%2F27%2Fprotesters-march-for-3rd-night-in-l-a-some-clash-with-police%2F%3FclearUserState%3Dtrue,https://twitter.com/_preciouschild/status/1299207955447910400,https://twitter.com/_preciouschild/status/1299207955447910400,"some marchers vandalized U.S. Bank Tower; police kettled marchers in tunnel, fired less-lethal munitions at them",0,1,1,,,,,,,,,,,,,,
Louisville,near Churchill Downs,,KY,US,2020-08-26,hundreds,200,,200,,,Until Freedom,"against racism, against police violence, for justice for Breonna Taylor",1,protest,64,0,0,0,1,1,,https://www.somerset-kentucky.com/covid-19/breonna-taylor-protest-64-arrests-near-kentucky-derby-venue/article_04f35574-e7ba-11ea-adb4-1717e623ae83.html,,,,0,1,,,,,,,,,,,,,,,
Madison,Wisconsin State Capitol; University Avenue,,WI,US,2020-08-26,,,,,,,general protesters,"against racism, against police violence, for justice for Jacob Blake",1,protest,0,0,0,1,1,1,,https://wkow.com/2020/08/27/alleged-hate-crime-victim-speaks-at-madison-protest/,https://madison.com/wsj/news/local/crime-and-courts/peace-reigns-in-downtown-madison-protests-on-4th-night-following-shooting-of-jacob-blake/article_bb70400f-6f6f-5d6e-9e92-694b839ddd9c.html,,,0,1,,,,,,,,,,,,,,,
Memphis,South Memphis Mapco,,TN,US,2020-08-26,about 25,25,,25,,,general protesters,"against racism, against police violence, for defunding police, against shooting of Deshun Holliday, for justice for Jacob Blake",1,protest,0,0,,0,0,1,,https://dailymemphian.com/section/metro/article/16460/us-marshals-gulf-coast-task-force-shooting-mistaken-identity-elvis-presley-boulevard,,,,0,1,,,,,,,,,,,,,,,
Merrick,,,NY,US,2020-08-26,more than 100,100,,100,,,general demonstrators,"against racism, against police violence, for justice for Jacob Blake",1,protest,0,0,0,0,1,1,,https://www.newsday.com/long-island/nassau/black-lives-matter-jacob-blake-merrick-protests-1.48615593,,,,0,1,,,,,,,,,,,,,,,
Milwaukee,Miller Park,,WI,US,2020-08-26,,,,,,,"Milwaukee Brewers, Cincinnati Reds",Black Lives Matter,1,protest,0,0,0,0,1,1,,https://www.hngnews.com/sun_prairie_star/article_676d35a7-1ee7-5849-a63b-8d60c5e3ec02.html,https://www.channel3000.com/reports-brewers-choose-not-to-play-in-game-against-reds/,,https://www.wifr.com/2020/08/26/brewers-wont-play-wednesday-in-protest-over-kenosha-shooting/,0,1,,https://chicago.suntimes.com/2020/8/26/21403347/brewers-reds-bucks-boycott-jacob-blake,,,,,,,,,,,,,
Minneapolis,Father Hennepin Bluff Park,,MN,US,2020-08-26,count pic,100,,100,,,general protesters,"against racism, against police violence, remembering Lionel Lewis",1,march,,,,,1,1,,https://unicornriot.ninja/2020/daughter-organizes-march-for-father-killed-after-police-interaction/,,,,,,1,,,,,,,,,,,,,,
Minneapolis,,,MN,US,2020-08-26,hundreds,200,,200,,,general protesters,"against racism, against police violence",1,protest,,,,1,0,1,,https://unicornriot.ninja/2020/new-unrest-in-downtown-minneapolis-mayor-calls-for-national-guard/,,,"Police used pepper spray, curfew imposed, openly carrying heavy weapons. Some looting, some buildings set on fire.",1,,1,,,,,,,,,,,,,,
New London,State Hwy 9 NE and 2nd Ave SW,,MN,US,2020-08-26,about 20,20,,20,,,general protesters,"Black Lives Matter, for justice for Jacob Blake, defund police",1,protest,0,0,0,0,1,1,20200826-newlondon-blm,https://www.wctrib.com/news/6634352-New-Londoners-rally-for-racial-justice-Wednesday,,,,0,1,,,,,,,,,,,,,,,
New London,State Hwy 9 NE and 2nd Ave SW,,MN,US,2020-08-26,a few,3,,3,,,general protesters,"against Black Lives Matter protesters, for President Trump, for patriotism, for law and order, Confederate flag",2,counter-protest,0,0,0,0,0,1,20200826-newlondon-blm,https://www.wctrib.com/news/6634352-New-Londoners-rally-for-racial-justice-Wednesday,,,repeatedly drove past protesters in vehicles with flags,0,1,,,,,,,,,,,,,,,
New York,"USTA Billie Jean King National Tennis Center, Queens",,NY,US,2020-08-26,,1,,1,,,general protesters,"against racism, against police violence, for justice for Jacob Blake",1,sickout,0,0,0,0,1,1,,https://abcnews.go.com/GMA/Culture/naomi-osaka-play-tennis-match-support-protest-jacob/story?id=72651647,,,Naomi Osaka,0,1,,,,,,,,,,,,,,,
New York,"Carl Schurz Park, Manhattan",,NY,US,2020-08-26,,,,,,,Upper East Side for Black Lives Matter,"against racism, against police brutality",1,vigil; march,,,,,0,1,,https://www.instagram.com/p/CEWrErsjuc9/,https://www.instagram.com/p/CEW18_IjFF7/,https://www.instagram.com/p/CEX9B2zDZYe/,,,,1,,,,,,,,,,,,,,
New York,"McCarren Park, Brooklyn",,NY,US,2020-08-26,,,,,,,general protesters,"against racism, against police brutality",1,vigil,,,,,0,1,,https://www.bkreader.com/2020/11/02/heres-what-happens-at-the-nightly-anti-racist-gathering-in-mccarren-park/,,,,,,1,,,,,,,,,,,,,,
Oakland,Oscar Grant Plaza,,CA,US,2020-08-26,,,,,,,general protesters,"against racism, against police violence, for justice for Jacob Blake",1,rally,,,,,1,1,,https://www.instagram.com/p/CEXf7achP3r/,https://www.instagram.com/p/CETC1OtBfDL/?igshid=1gptv4hlm9izs,https://www.sfchronicle.com/bayarea/article/Demonstrators-hit-streets-of-Oakland-courthouse-15518204.php,,,,1,https://www.dailyrepublic.com/all-dr-news/wires/oakland-agitators-vandalize-courthouse-following-mostly-peaceful-jacob-blake-protest-east-bay-times-2/,,,,,,,,,,,,,
Palmetto,Field Entertainment Center,,FL,US,2020-08-26,,,,,,,Washington Mystics WNBA team,"against racism, against police violence, for justice for Jacob Blake",1,protest,0,0,0,0,1,1,,https://abcnews.go.com/GMA/Culture/wnba-players-wear-shirts-bullet-holes-protest-jacob/story?id=72650367,,,,0,1,,,,,,,,,,,,,,,
Park City,Park City School District,,UT,US,2020-08-26,more than 100,100,,100,,,general protesters,for safer workplaces for teachers and safer schools for students during coronavirus pandemic,0,protest,0,0,0,0,1,1,,https://www.parkrecord.com/news/crowd-of-demonstrators-criticizes-school-districts-handling-of-coronavirus/,,,,,,,,,,,,,,,,,,,,
Pheonix,Chase Field,,AZ,US,2020-08-26,,,,,,,Arizona Diamondbacks and Colorado Rockies,against racial injustice,1,protest,0,0,0,0,1,1,,https://www.denverpost.com/2020/08/27/rockies-game-postponed-players-protest-social-injustice/,https://www.lamarledger.com/2020/08/27/rockies-game-postponed-players-protest-social-injustice/,,,0,1,,,,,,,,,,,,,,,
Philadelphia ,Philadelphia City Hall,,PA,US,2020-08-26,around 50,50,,50,,,general protesters,"against racism, against police violence, for justice for Jacob Blake",1,protest,0,0,0,0,1,1,,https://www.inquirer.com/news/philadelphia/jacob-blake-protest-philadelphia-kenosha-wisconsin-shooting-police-20200826.html,,,,0,1,,,,,,,,,,,,,,,
Phoenix,Camelback Road and Central Ave,,AZ,US,2020-08-26,,,,,,,All Black Lives Matter Arizona,"against racism, against police violence, for justice for Jacob Blake",1,protest,,,,,1,1,,https://www.azcentral.com/picture-gallery/news/local/phoenix/2020/05/29/hundreds-gather-downtown-phoenix-protest-death-george-floyd-minneapolis/5281116002/,,,,,,1,,,,,,,,,,,,,,
Phoenix,City Council Building,,AZ,US,2020-08-26,,,,,,,Poder in Action; Black Lives Matter Phoenix Metro,antiracism; commemorate Black lives lost,1,protest,,,,,1,1,,https://www.azcentral.com/picture-gallery/news/local/phoenix/2020/05/29/hundreds-gather-downtown-phoenix-protest-death-george-floyd-minneapolis/5281116002/,,,,,,1,,,,,,,,,,,,,,
Pittsburgh,Pittsburgh City-County Building,,PA,US,2020-08-26,more than 60,60,,70,,,Trans YOUniting; PGH LGBTQ+ Coalition,"for police reform, against racism, for affordable housing, for voting rights",1,march,0,0,0,0,1,1,,https://www.pghcitypaper.com/pittsburgh/rally-held-in-downtown-pittsburgh-calls-for-police-reform-and-to-drop-charges-against-black-lives-matter-protesters/Content?oid=17887247,https://twitter.com/RyanDeto/status/1298749279390097408,https://www.pghcitypaper.com/pittsburgh/rally-held-in-downtown-pittsburgh-calls-for-police-reform-and-to-drop-charges-against-black-lives-matter-protesters/Content?oid=17887247,F.J.E. Wednesdays (first one),,,1,,,,,,,,,,,,,,
