CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
Chico ,,Butte,CA,US,2020-01-04,dozens,24,,24,,,general protesters,against war with Iran,1,protest,0,0,0,0,1,1,https://www.actionnewsnow.com/content/news/Chico-residents-protest-against-war-with-Iran-566751461.html,,,,
Cincinnati,Fountain Square,Hamilton,OH,US,2020-01-04,,,,,,,general protestors,against war with Iran,1,protest,0,0,0,0,1,1,https://www.answercoalition.org/national_action_us_troops_out_of_iraq,,,,
Cleveland,Market Square,Cuyahoga,OH,US,2020-01-04,over 100,100,,100,,,general protestors,against war with Iran,1,protest,,,,,1,1,https://twitter.com/ClevePeace/status/1213561650982400002,https://www.wkyc.com/article/news/local/cleveland/rally-held-in-cleveland-to-protest-us-military-actions-in-middle-east/95-7225d47c-90a5-493d-9e96-b3545bd3e917,,,
Cobleskill,Union St & Main St,Schoharie,NY,US,2020-01-04,,,,,,,general protestors,against war with Iran,1,protest,,,,,1,1,https://www.facebook.com/events/521905541742781/,,,,
Cocoa ,Intersection of State Road 520 and U.S. 1,Brevard,FL,US,2020-01-04,,,,,,,general protestors,against war with Iran,1,protest,0,0,0,0,1,1,https://www.floridatoday.com/story/news/2020/01/05/demonstrators-take-cocoa-corner-raise-concerns-buildup-tensions-iran/2818343001/,,,,
Columbia,state house,Richland,SC,US,2020-01-04,,,,,,,general protestors,against war with Iran,1,protest,,,,,1,1,https://www.facebook.com/events/440799606828700/,https://www.wistv.com/2020/01/04/midlands-protesters-supporters-react-tension-between-us-iran/,,,
Dallas,Dealey Plaza,Dallas,TX,US,2020-01-04,FB: 145,145,,145,,,general protestors,against war with Iran,1,protest,,,,,1,1,https://www.facebook.com/events/598074451008331/,,,,
Davis,B and 5th Streets,Yolo,CA,US,2020-01-04,,,,,,,general protestors,against war with Iran,1,protest,,,,,1,1,https://www.facebook.com/events/1282742965243063/,,,,
Denver,Capitol,Denver,CO,US,2020-01-04,,,,,,,general protestors,against war with Iran,1,protest,,,,,1,1,https://twitter.com/GlennGriffin8/status/1213570211997028352,,,,
Des Moines,Civic Center,Des Moines,IA,US,2020-01-04,,,,,,,general protestors,against war with Iran,1,protest,,,,,1,1,https://twitter.com/AFSCiowa/status/1213164883824578561,,,,
Detroit,Campus Martius,Wayne,MI,US,2020-01-04,hundreds,200,,200,,,MECAWI,against war with Iran,1,protest,,,,,1,1,https://twitter.com/MCmuckraker/status/1213514682541236225,https://www.facebook.com/events/639477386591851/,,,
Duluth,Minnesota Power Plaza,St. Louis ,MN,US,2020-01-04,dozens ,24,,24,,,Lake Superior Socialist Resurgence ,against war with Iran,1,protest,0,0,0,0,1,1,https://kbjr6.com/2020/01/04/twin-ports-community-members-hold-anti-war-protest/,,,,
Durham,Downtown,Durham,NC,US,2020-01-04,,,,,,,Durham2Palestine,against war with Iran,1,protest,0,0,0,0,1,1,https://twitter.com/Aman_Aberra/status/1213520309225164806,https://abc11.com/5816912/,,,
East Chicago,Heritage Hall Community Center,Lake,IN,US,2020-01-04,,,,,,,firefighters,against change in shift time and decommissioning of equipment for firefighters,0,protest,0,0,0,0,1,1,https://www.nwitimes.com/news/local/govt-and-politics/copeland-touts-accomplishments-as-firefighters-protest-at-swearing-in-ceremony/article_e2f0a63e-8622-54f6-8bd1-5cc49c704e44.html,,,,
Effingham ,City Hall,Effingham ,IL,US,2020-01-04,,,,,,,"Edgewood, IL Flag Fliers ",for keeping Christian cross in public mural ,0,demonstration,0,0,0,0,1,1,https://www.effinghamdailynews.com/news/local_news/people-advocate-to-keep-cross-in-mural-during-demonstration/article_e3dd5916-2ff4-11ea-9827-775e84b61de9.html,,,,
El Paso,U.S. Federal Courthouse,El Paso,TX,US,2020-01-04,,,,,,,ANSWER Coalition,against war with Iran,1,protest,0,0,0,0,1,1,https://www.answercoalition.org/national_action_us_troops_out_of_iraq,,,,
Ellensburg,Intersection of Main Street and Fifth Avenue,Kittitas,WA,US,2020-01-04,an estimated 40,40,,40,,,general protesters,against war with Iran,1,protest,0,0,0,0,1,1,https://www.dailyrecordnews.com/news/anti-war-protesters-take-it-to-the-streets/article_184a918a-237a-5aab-9ffd-dc8ff6a6161b.html,,,,
Evansville,Four Freedoms Monument,Vanderburgh,IN,US,2020-01-04,around 50,50,,50,,,Veterans for Peace; Indivisible Evansville,against war with Iran,1,protest,0,0,0,0,1,1,https://www.courierpress.com/story/news/2020/01/04/anti-war-protesters-speak-out-brave-cold-four-freedoms/2814094001/,,,,
Fayettville,Washington County Courthouse,Washington,AK,US,2020-01-04,FB: 59; about 100,59,,100,,,general protestors,against war with Iran,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/584912085621622/,https://www.nwaonline.com/news/2020/jan/05/antiwar-protesters-take-a-stand-in-faye/,,,
Fort Wayne,Allen County Courthouse Green,Allen,IN,US,2020-01-04,,,,,,,general protestors,against war with Iran,1,protest,0,0,0,0,1,1,https://www.answercoalition.org/national_action_us_troops_out_of_iraq,,,,
Gainesville,,Hall,GA,US,2020-01-04,,,,,,,Indivisible Lumpkin,against war with Iran,1,protest,,,,,1,1,https://twitter.com/IndivisibleLum/status/1213527633683779586,,,,
Grand Marais,,Cook,MN,US,2020-01-04,count pic,11,,11,,,general protestors,against war with Iran,1,rally,,,,,1,1,https://twitter.com/bryanhansel/status/1213523862933114881,,,,
Grand Rapids,Intersection of Division and Fulton,Itasca,MN,US,2020-01-04,about 35,35,,35,,,general protesters,against war with Iran,1,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2020/1/6/grand-rapids-mi-protest-against-war-iran,,,,
Harrisburg,Capitol Steps,Dauphin,PA,US,2020-01-04,FB: 25,25,,25,,,general protestors,against war with Iran,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/s/rally-against-war-with-iran/459140811434838/,,,,
Hastings,VFW Plaza,Westchester,NY,US,2020-01-04,,,,,,,Concerned Families of Westchester,against war with Iran,1,protest,0,0,0,0,1,1,westchester.news12.com/story/41519361/antiwar-demonstrators-to-rally-in-hastings-for-deescalation-between-us-iran,,,,
