CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5,Source6
Morristown,Wind of the Spirit,,NJ,US,8/7/2019,,,,,,,Casa Freehold; Wind of the Spirit; New Labor; Unidad Latina en Accion; Mil Sonrisas; LAZOS,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
Mount Prospect,Corner of NW Hwy & Main ,,IL,US,8/7/2019,,,,,,,general protestors,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
New Brunswick,78 Bayard St,,NJ,US,8/7/2019,,,,,,,Casa Freehold; Wind of the Spirit; New Labor; Unidad Latina en Accion; Mil Sonrisas; LAZOS,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
New York,City Hall,,NY,US,8/7/2019,,,,,,,Communities United for Police Reform,demand firing of NYPD officers involved in death of Eric Garner,0,protest,,,,,,1,https://twitter.com/changethenypd/status/1159137701146374149,,,,,,
Oakland,Plaza de la Fuente,,CA,US,8/7/2019,,,,,,,"BAMN-- Coalition to Defend Affirmative Action, Integration, and Immigrant Rights and Fight for Equality By Any Means Necessary",against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
Pasadena,Villa Park Community Center,,CA,US,8/7/2019,,,,,,,general protestors,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
Pomona,,,CA,US,8/7/2019,,,,,,,general protestors,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
Portland,outside US Sen. Jeff Merkley's office; 121 SW Salmon St,,OR,US,8/7/2019,,,,,,,general protestors,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
Riverside,,,CA,US,8/7/2019,,,,,,,general protestors,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
San Antonio,,,TX,US,8/7/2019,,,,,,,general protestors,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
San Francisco,,,CA,US,8/7/2019,,,,,,,general protestors,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
Santa Barbara,,,CA,US,8/7/2019,,,,,,,general protestors,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
Seattle,Casa Latina; 317 17th Avenue South,,WA,US,8/7/2019,,,,,,,Casa Latina,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
Seattle,Beacon Hill Light Rail Station,,WA,US,8/7/2019,,,,,,,general protestors,against white supremacy; for gun reform,1,vigil,,,,,,1,https://actionnetwork.org/event_campaigns/elpasofirme-a-call-to-action-against-white-supremacy?ms=20190805_elpaso,,,#ElPasoFirme Vigil,,,
