City/Town,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,
New York,City Hall,NY,US,2018-04-04,,,,,,,Urban Youth Collaborative,"Rallying for more guidance counselors, and fewer cops in school",0,rally,0,0,0,0,0,1,http://www.nydailynews.com/new-york/nyc-students-rally-guidance-counselors-cops-article-1.3916504,,,,,
New York,S. Union Square,NY,US,2018-04-04,FB: 205,205,,205,,,Justice League NYC,Sen. Kaine campaign rally,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/2105830962766056/,,,,,
Norton,W. Main St.,MA,US,2018-04-04,FB: 9,9,,9,,,Norton PD,Rallying against addiction,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/1552523371513648/,,,,,
Oklahoma City,Oklahoma State Capitol,OK,US,2018-04-04,,,,,,,Oklahoma Education Association,"for higher pay for teachers, for more education funding",0,rally,0,0,0,0,1,1,http://www.amarillo.com/nationworld/20180404/oklahoma-students-rally-to-support-teachers,,,,,
Portland,from the Japanese-American Historical Plaza to the MLK Statue,OR,US,2018-04-04,,,,,,,"The Albina Ministerial Alliance, The Beloved Community of Oregon, Ecumenical Ministries of Oregon, and The National Association for the Advancement of Colored People",Rallying for racial equality,0,rally,0,0,0,0,0,1,http://www.theskanner.com/news/newsbriefs/26738-the-movement-isn-t-over-march-to-take-place-april-4,,,,,
Portland,King School Park,OR,US,2018-04-04,roughly 100,100,,100,,,Don't Shoot Portland,Rallying for racial equality,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/1542673299142679/,http://www.kptv.com/story/37884267/dont-shoot-rally-honors-mlk-jrs-legacy-in-ne-portland,,,,
Roxbury,Boston PD HQ,MA,US,2018-04-04,FB: 185,185,,185,,,Mass Action Against Police Brutality,Protesting police shooting of Stephon Clark,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/759975727529280/,,,,,
Sacramento,Downtown,CA,US,2018-04-04,hundreds; FB: 616,200,,616,,,general protestors,Protesting police shooting of Stephon Clark,0,protest,0,0,0,0,0,1,http://www.sacbee.com/news/local/article207935124.html,https://www.facebook.com/events/2045660062325413/,,,,
Sacramento,Florin Rd.,CA,US,2018-04-04,,,,,,,Police Lives Matter,Rallying for police,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/731572333899428/,,,,,
Sacramento,State Capitol,CA,US,2018-04-04,more than 50,50,,50,,,Students,Protesting underfunded UC system,0,protest,0,0,0,0,0,1,http://fox40.com/2018/04/04/csu-students-protest-to-demand-better-funding-for-universities/,,,,,
Sahuarita,Rancho Sahuarita Boulevard and Sahuarita Road,AZ,US,2018-04-04,,,,,,,Arizona Educators United,Rallying for teachers,0,rally,,,,,1,1,https://www.gvnews.com/news/red-for-ed-rally-set-for-wednesday/article_51854b05-bfb8-5cf9-8a3a-d5df5998e42e.html,,,,,
Saratoga Springs,City Center,NY,US,2018-04-04,From photo: dozens,24,,24,,,MLK Saratoga,Rallying for racial equality,0,rally,0,0,0,0,1,1,http://www.saratogian.com/article/ST/20180404/NEWS/180409892,,,,,
South Bend,,IN,US,2018-04-04,more than a dozen,12,,12,,,general protestors,Rallying for racial equality,0,rally,0,0,0,0,1,1,http://wsbt.com/news/local/locals-remember-martin-luther-king-jr-in-downtown-south-bend,,,,,
St. Mary's,Kings Bay Naval Base,GA,US,2018-04-04,7,7,,7,,,Catholic Plowshares members,Protesting nuclear weapons,1,protest,7,0,0,0,1,1,https://www.greenwichtime.com/news/article/New-Haven-activist-among-7-protesters-detained-in-12826683.php,,,,,
Tulsa,7th and Houston in downtown Tulsa,OK,US,2018-04-04,video: 16,16,,16,,,Oklahoma state workers,Rallying for better pay,0,rally,0,0,0,0,0,1,http://ktul.com/news/local/tulsa-public-employees-rally-in-downtown-tulsa-for-pay-raises,,,,,
Tulsa,Webster High School,OK,US,2018-04-04,more than 100,100,,100,,,Teachers,Rallying for better educational funding,0,march,0,0,0,0,1,1,http://kfor.com/2018/04/04/group-of-teachers-marching-from-tulsa-to-oklahoma-state-capitol-to-protest-public-education-funding/,Marching for a week to OKC,,,,
Tuskegee,Mt. Olive Church,AL,US,2018-04-04,FB: 6,6,,6,,,general protestors,Rallying for racial equality,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/1826196684349102/,,,,,
