CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
Washington,inside Hart Senate Office Building hearing room,DC,US,2018-09-04,,70,,70,,,"Women's March, UltraViolet, and others",protesting confirmation hearings of Supreme Court Justice nominee Brett Kavanaugh,1,protest,61,,,,1,1,https://www.reuters.com/article/us-usa-court-protests/hundreds-arrested-in-multi-day-protests-of-supreme-court-nominee-idUSKCN1LN2K3,https://news.vice.com/en_us/article/paw7jv/piper-perabo-and-linda-sarsour-among-143-arrested-in-kavanaugh-confirmation-hearing-protests,https://6abc.com/the-handmaids-tale-protesters-target-kavanaugh-/4144384/,,
Washington,second floor of the Dirksen Senate Office Building,DC,US,2018-09-04,,9,,9,,,"Women's March, UltraViolet, and others",protesting confirmation hearings of Supreme Court Justice nominee Brett Kavanaugh,1,protest,9,0,0,0,0,1,https://6abc.com/the-handmaids-tale-protesters-target-kavanaugh-/4144384/,https://www.reuters.com/article/us-usa-court-protests/hundreds-arrested-in-multi-day-protests-of-supreme-court-nominee-idUSKCN1LN2K3,,,
Asheville,in front of Federal building,NC,US,2018-09-05,na,16,,16,,,general protestors,against appointing Kavanaugh to US Supreme Court,1,protest,0,0,0,0,1,1,https://www.citizen-times.com/picture-gallery/news/local/2018/09/05/kavanaugh-protest/1204422002/,,,partial count from pic,
Baltimore,West Baltimore,MD,US,2018-09-05,,21,,21,,,Residents ,rallying to stop demolition,0,rally,0,0,0,0,1,1,https://foxbaltimore.com/news/local/west-balt-residents-rally-to-stop-demolition-urge-city-to-rebuild,,,count vid,
Boone,Boone County Fairgrounds to Pilot Mound,IA,US,2018-09-05,,,,,,,Rise for Climate; First Nation Farmer Climate Unity March,Raising awareness about lawsuit on behalf of land owners who had property taken in order to build the Dakota Access Pipeline,1,march; rally,,,,,1,1,http://boldiowa.com/2018-first-nation-farmer-climate-unity-march/,,,,
Chicago,outside the Leighton Criminal Court Building ,IL,US,2018-09-05,about 100,100,,100,,,general protestors,rallying for conviction of local police officer who killed Black man,1,rally,0,0,0,0,1,1,http://www.chicagotribune.com/news/local/breaking/ct-met-laquan-mcdonald-jason-van-dyke-trial-20180905-story.html,,,,
Concord,in front of the New Hampshire State House ,NH,US,2018-09-05,,,,,,,"A coalition of landowners, loggers, business leaders, municipal leaders and state lawmakers",urging the House and Senate to override Gov. Chris Sununu’s vetoes of SB 365 and SB 446 - bills about biomass production with bipartisan support,0,rally,,,,,1,1,https://www.conwaydailysun.com/news/local/forestry-industry-to-hold-biomass-rally-today/article_6914cbb2-b131-11e8-ac94-4b37db05dc7f.html,,,,
Elliston,in trees,VA,US,2018-09-05,na,2,,2,,,general protestors,against Mountain Valley Pipeline,0,protest in trees,0,0,0,0,1,1,https://www.virginiafirst.com/news/local-news/activists-create-two-tree-sits-in-protest-of-mountain-valley-pipeline/1421528080,https://www.whsv.com/content/news/2-more-protesters-take-to-trees-along-Mountain-Valley-route-492645861.html,,"""tree sits""",
Fort Worth,Burnett Plaza,TX,US,2018-09-05,,,,,,,general protestors,protesting Texas AG’s lawsuit against the Affordable Care Act,1,protest,0,0,0,0,1,1,https://www.star-telegram.com/news/local/community/fort-worth/article217840765.html,,,,
Jacksonville,Jacksonville Community Action Committee,FL,US,2018-09-05,over 50 people,50,,50,,,various local community organizations,protesting police,1,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2018/9/7/jacksonville-rallies-front-city-hall-national-day-action-against-police-crimes,,,,
Kalamazoo,Bronson Park,MI,US,2018-09-05,around 60,60,,60,,,general protestors,protest removal of homeless encampment,0,demonstration,0,0,0,0,1,1,https://www.mlive.com/news/kalamazoo/index.ssf/2018/09/homeless_advocates_and_kalamaz.html,,,ongoing until September 19th,
Lakeland,Florida Polytechnic University,FL,US,2018-09-05,about two dozen,24,,24,,,United Faculty of Florida Union,protesting faculty terminations,0,protest,0,0,0,0,1,1,https://www.wfla.com/news/polk-county/union-rally-held-for-faculty-and-students-at-florida-polytechnic-university/1420799282,,,,
