CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,
Atlanta,in front of the Domestic North Terminal of Atlanta’s Hartsfield-Jackson International Airport,Fulton,GA,US,2019-01-10,Several dozen,36,,36,,,AFGE Local 554; Federal workers,protest partial govt shutdown,0,protest,0,0,0,0,1,1,http://www.fox5atlanta.com/news/tsa-union-holds-rally-at-atlanta-s-airport,,,,,,
Chicago ,Federal Plaza,Cook,IL ,US,2019-01-10,about 50,50,,50,,,Federal workers,protest partial govt shutdown,0,protest,0,0,0,0,1,1,https://www.washingtonpost.com/local/federal-workers-to-demand-end-to-government-shutdown-at-white-house-protest/2019/01/10/330d1c4e-144c-11e9-803c-4ef28312c8b9_story.html?utm_term=.f939d2b78ba7,https://chicago.suntimes.com/news/chicago-workers-protest-partial-government-shutdown/,,,,,
Chicago ,outside R. Kelly studio; 219 N. Justine St.,Cook,IL ,US,2019-01-10,dozens,24,,24,,,general protestors ,call for boycott of Kelly's music; support prosecution of sexual assau,0,protest,0,0,0,0,1,1,https://www.wjbf.com/news/u-s-world-news/-mute-r-kelly-crowd-shows-up-to-protest/1696218468,https://www.chicagotribune.com/news/local/breaking/ct-met-r-kelly-protest-club-20190110-story.html,,#MuteRKelly,,,
Cincinnati,,Hamilton,OH,US,2019-01-10,,,,,,,Federal workers,protest partial govt shutdown,0,protest,,,,,1,1,https://www.cbsnews.com/news/federal-workers-rally-across-the-country-in-protest-of-shutdown/,,,,,,
Covington,,Kenton,KY,US,2019-01-10,,,,,,,Federal workers,protest partial govt shutdown,0,protest,,,,,1,1,https://www.cbsnews.com/news/federal-workers-rally-across-the-country-in-protest-of-shutdown/,,,,,,
Dallas,Environmental Protection Agency Offices,Dallas,TX,US,2019-01-10,dozens,24,,24,,,Federal workers,protest partial govt shutdown,1,protest,0,0,0,0,1,1,https://dfw.cbslocal.com/video/4007498-texas-federal-employees-gather-in-dallas-protest-govt-shutdown/,https://dfw.cbslocal.com/2019/01/10/rally-texas-federal-employees-government-shutdown/,,,,,
Denver,downtown,Denver,CO,US,2019-01-10,roughly 150; hundreds,150,,200,,,American Federation of Government Employees,end to government shutdown,1,protest,0,0,0,0,1,1,https://www.9news.com/article/news/local/federal-workers-gather-downtown-to-protest-the-government-shutdown/73-67d97e0f-6c7c-49a5-895c-6774d5f5b30c,https://denver.cbslocal.com/2019/01/09/furloughed-workers-protest-denver/,https://durangoherald.com/articles/258280,,,,
Detroit,in front of McNamara Federarl Building,Wayne,MI,US,2019-01-10,about 100,100,,100,,,Federal workers,protest partial govt shutdown,0,protest,0,0,0,0,1,1,https://www.detroitnews.com/picture-gallery/news/2019/01/10/federal-employees-protest-partial-government-shutdown/2538323002/,https://www.freep.com/story/news/local/michigan/detroit/2019/01/10/government-shutdown-federal-workers-detroit/2537403002/,,,,,
Edison,Environmental Protection Agency Offices,Middlesex,NJ,US,2019-01-10,about a half dozen,6,,6,,,Federal workers,end to government shutdown,1,protest,0,0,0,0,1,1,https://eu.mycentraljersey.com/story/news/politics/2019/01/10/government-shutdown-federal-workers-epa-rally-edison-nj/2526688002/,,,,,,
Kansas City,,Jackson,MO,US,2019-01-10,,,,,,,Federal workers,protest partial govt shutdown,0,protest,0,0,0,0,1,1,https://www.kctv5.com/news/irs-workers-in-kc-protest-government-shutdown/article_73b3590c-1537-11e9-b091-07627ddab21d.html,,,,,,
Los Angeles,,Los Angeles,CA,US,2019-01-10,,,,,,,Los Angeles Educators,demanding better funding for public schools,0,protest,,,,,1,1,https://www.wsws.org/en/articles/2018/12/24/virg-d24.html,,,,,,
McAllen,outside airport,Hidalgo,TX,US,2019-01-10,several hundred,300,,300,,,general protestors ,anti-Wall; anti-Trump,1,protest,0,0,0,0,1,1,https://www.kxan.com/news/us-politics/photos-hundreds-protest-counter-protest-at-airport-for-trump-visit/1696047677,,,,,,
McAllen,outside airport,Hidalgo,TX,US,2019-01-10,,,,,,,general protestors ,pro-Wall; pro-Trump,2,protest,,,,,0,1,https://www.kxan.com/news/us-politics/photos-hundreds-protest-counter-protest-at-airport-for-trump-visit/1696047677,,,,,,
Minneapolis,,Hennepin,MN,US,2019-01-10,count video,21,,21,,,American Federation of Government Employees,end to government shutdown,1,protest,0,0,0,0,1,1,https://minnesota.cbslocal.com/2019/01/10/federal-workers-government-shutdown-protest/,,,,,,
New York ,Federal building,New York,NY,US,2019-01-10,scores,40,,40,,,general protestors ,end to government shutdown,1,protest,0,0,0,0,1,1,https://www.nbcnews.com/politics/white-house/angry-furloughed-federal-workers-protest-shutdown-white-house-around-country-n957356,,,,,,
